what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1348344285657
java.specification.version,sysinfo,,,"1.6",1348344285657
java.vendor,sysinfo,,,"Apple Inc.",1348344285657
java.version,sysinfo,,,"1.6.0_35",1348344285657
java.vm.info,sysinfo,,,"mixed mode",1348344285657
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1348344285657
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1348344285657
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1348344285657
java.vm.specification.version,sysinfo,,,"1.0",1348344285657
java.vm.vendor,sysinfo,,,"Apple Inc.",1348344285657
java.vm.version,sysinfo,,,"20.10-b01-428",1348344285657
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1348344285684
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1348344286493
started,bundle,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.adt",1348344286839
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1348344286905
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1348344287167
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1348344287176
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1348344287180
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1348344287301
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1348344287370
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1348344287425
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1348344287525
