what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1348555354823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1348555356977
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1348555359202
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1348555364687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348555365862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348555372080
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348555377143
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348555378097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348555421934
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1348555427840
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1348555430278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348555433091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348555439419
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1348555464889
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348555469924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348555472905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348555483647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348555486427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348555535503
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348555550704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348555578222
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348555583418
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348555599168
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1348555603331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348555604342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348555610617
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348555618066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348555618921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348555686433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348555704690
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348555713468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348555723693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348555745016
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348555748676
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348555810223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348555811754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348555841003
